time,open,close
2023-06-10T18:45:00Z,30534,30540
2023-06-10T18:50:00Z,30536,30544
2023-06-10T18:55:00Z,30547,30538
2023-06-10T19:00:00Z,30541,30553
2023-06-10T19:05:00Z,30552,30546
2023-06-10T19:10:00Z,30542,30532
2023-06-10T19:15:00Z,30546,30490
2023-06-10T19:20:00Z,30501,30519
2023-06-10T19:25:00Z,30517,30509
2023-06-10T19:30:00Z,30510,30500
2023-06-10T19:35:00Z,30505,30514
2023-06-10T19:40:00Z,30509,30510
2023-06-10T19:45:00Z,30514,30510
2023-06-10T19:50:00Z,30512,30509
2023-06-10T19:55:00Z,30507,30523
2023-06-10T20:00:00Z,30522,30516
2023-06-10T20:05:00Z,30515,30528
2023-06-10T20:10:00Z,30529,30516
2023-06-10T20:15:00Z,30518,30505
2023-06-10T20:20:00Z,30504,30504
2023-06-10T20:25:00Z,30501,30515
2023-06-10T20:30:00Z,30517,30509
2023-06-10T20:35:00Z,30509,30531
2023-06-10T20:40:00Z,30529,30553
2023-06-10T20:45:00Z,30550,30523
2023-06-10T20:50:00Z,30524,30522
2023-06-10T20:55:00Z,30522,30508
2023-06-10T21:00:00Z,30508,30504
2023-06-10T21:05:00Z,30505,30496
2023-06-10T21:10:00Z,30499,30496
2023-06-10T21:15:00Z,30498,30498
2023-06-10T21:20:00Z,30498,30501
2023-06-10T21:25:00Z,30498,30495
2023-06-10T21:30:00Z,30498,30505
2023-06-10T21:35:00Z,30506,30485
2023-06-10T21:40:00Z,30484,30494
2023-06-10T21:45:00Z,30499,30487
2023-06-10T21:50:00Z,30483,30486
2023-06-10T21:55:00Z,30492,30496
2023-06-10T22:00:00Z,30496,30501
2023-06-10T22:05:00Z,30503,30504
2023-06-10T22:10:00Z,30511,30504
2023-06-10T22:15:00Z,30504,30494
2023-06-10T22:20:00Z,30498,30511
2023-06-10T22:25:00Z,30509,30499
2023-06-10T22:30:00Z,30497,30492
2023-06-10T22:35:00Z,30492,30481
2023-06-10T22:40:00Z,30480,30481
2023-06-10T22:45:00Z,30485,30490
2023-06-10T22:50:00Z,30487,30490
2023-06-10T22:55:00Z,30491,30501
2023-06-10T23:00:00Z,30500,30499
2023-06-10T23:05:00Z,30499,30510
2023-06-10T23:10:00Z,30510,30507
2023-06-10T23:15:00Z,30507,30506
2023-06-10T23:20:00Z,30506,30514
2023-06-10T23:25:00Z,30517,30517
2023-06-10T23:30:00Z,30516,30514
2023-06-10T23:35:00Z,30510,30507
2023-06-10T23:40:00Z,30506,30506
2023-06-10T23:45:00Z,30506,30521
2023-06-10T23:50:00Z,30522,30527
2023-06-10T23:55:00Z,30527,30545
2023-06-11T00:00:00Z,30543,30532
2023-06-11T00:05:00Z,30532,30530
2023-06-11T00:10:00Z,30531,30517
2023-06-11T00:15:00Z,30514,30500
2023-06-11T00:20:00Z,30500,30499
2023-06-11T00:25:00Z,30495,30503
2023-06-11T00:30:00Z,30502,30504
2023-06-11T00:35:00Z,30501,30488
2023-06-11T00:40:00Z,30488,30498
2023-06-11T00:45:00Z,30500,30510
2023-06-11T00:50:00Z,30509,30523
2023-06-11T00:55:00Z,30524,30525
2023-06-11T01:00:00Z,30528,30524
2023-06-11T01:05:00Z,30531,30532
2023-06-11T01:10:00Z,30531,30529
2023-06-11T01:15:00Z,30529,30529
2023-06-11T01:20:00Z,30529,30537
2023-06-11T01:25:00Z,30537,30538
2023-06-11T01:30:00Z,30536,30535
2023-06-11T01:35:00Z,30535,30522
2023-06-11T01:40:00Z,30517,30527
2023-06-11T01:45:00Z,30528,30536
2023-06-11T01:50:00Z,30536,30530
2023-06-11T01:55:00Z,30528,30532
2023-06-11T02:00:00Z,30525,30523
2023-06-11T02:05:00Z,30527,30530
2023-06-11T02:10:00Z,30530,30519
2023-06-11T02:15:00Z,30517,30514
2023-06-11T02:20:00Z,30515,30525
2023-06-11T02:25:00Z,30522,30519
2023-06-11T02:30:00Z,30519,30510
2023-06-11T02:35:00Z,30511,30514
2023-06-11T02:40:00Z,30516,30516
2023-06-11T02:45:00Z,30517,30515
2023-06-11T02:50:00Z,30516,30520
2023-06-11T02:55:00Z,30521,30523
2023-06-11T03:00:00Z,30520,30535
2023-06-11T03:05:00Z,30532,30529
2023-06-11T03:10:00Z,30531,30532
2023-06-11T03:15:00Z,30532,30520
2023-06-11T03:20:00Z,30522,30528
2023-06-11T03:25:00Z,30528,30538
2023-06-11T03:30:00Z,30537,30537
2023-06-11T03:35:00Z,30537,30538
2023-06-11T03:40:00Z,30538,30565
2023-06-11T03:45:00Z,30566,30543
2023-06-11T03:50:00Z,30539,30547
2023-06-11T03:55:00Z,30550,30550
2023-06-11T04:00:00Z,30549,30544
2023-06-11T04:05:00Z,30541,30540
2023-06-11T04:10:00Z,30539,30546
2023-06-11T04:15:00Z,30546,30544
2023-06-11T04:20:00Z,30544,30554
2023-06-11T04:25:00Z,30552,30529
2023-06-11T04:30:00Z,30529,30533
2023-06-11T04:35:00Z,30534,30519
2023-06-11T04:40:00Z,30519,30518
2023-06-11T04:45:00Z,30519,30523
2023-06-11T04:50:00Z,30528,30521
2023-06-11T04:55:00Z,30521,30522
2023-06-11T05:00:00Z,30519,30502
2023-06-11T05:05:00Z,30503,30500
2023-06-11T05:10:00Z,30496,30503
2023-06-11T05:15:00Z,30505,30500
2023-06-11T05:20:00Z,30503,30516
2023-06-11T05:25:00Z,30516,30516
2023-06-11T05:30:00Z,30511,30516
2023-06-11T05:35:00Z,30516,30520
2023-06-11T05:40:00Z,30519,30510
2023-06-11T05:45:00Z,30517,30520
2023-06-11T05:50:00Z,30519,30520
2023-06-11T05:55:00Z,30520,30525
2023-06-11T06:00:00Z,30522,30514
2023-06-11T06:05:00Z,30515,30533
2023-06-11T06:10:00Z,30534,30513
2023-06-11T06:15:00Z,30514,30528
2023-06-11T06:20:00Z,30528,30601
2023-06-11T06:25:00Z,30604,30562
2023-06-11T06:30:00Z,30564,30584
2023-06-11T06:35:00Z,30583,30601
2023-06-11T06:40:00Z,30596,30608
2023-06-11T06:45:00Z,30612,30584
2023-06-11T06:50:00Z,30587,30585
2023-06-11T06:55:00Z,30584,30556
2023-06-11T07:00:00Z,30576,30280
2023-06-11T07:05:00Z,30280,30461
2023-06-11T07:10:00Z,30460,30448
2023-06-11T07:15:00Z,30449,30526
2023-06-11T07:20:00Z,30525,30444
2023-06-11T07:25:00Z,30475,30503
2023-06-11T07:30:00Z,30503,30484
2023-06-11T07:35:00Z,30478,30495
2023-06-11T07:40:00Z,30496,30496
2023-06-11T07:45:00Z,30498,30496
2023-06-11T07:50:00Z,30505,30549
2023-06-11T07:55:00Z,30550,30638
2023-06-11T08:00:00Z,30625,30613
2023-06-11T08:05:00Z,30613,30565
2023-06-11T08:10:00Z,30569,30586
2023-06-11T08:15:00Z,30584,30577
2023-06-11T08:20:00Z,30583,30601
2023-06-11T08:25:00Z,30589,30581
2023-06-11T08:30:00Z,30579,30585
2023-06-11T08:35:00Z,30586,30568
2023-06-11T08:40:00Z,30573,30581
2023-06-11T08:45:00Z,30581,30581
2023-06-11T08:50:00Z,30584,30580
2023-06-11T08:55:00Z,30579,30572
2023-06-11T09:00:00Z,30565,30520
2023-06-11T09:05:00Z,30520,30535
2023-06-11T09:10:00Z,30544,30519
2023-06-11T09:15:00Z,30521,30519
2023-06-11T09:20:00Z,30519,30503
2023-06-11T09:25:00Z,30515,30521
2023-06-11T09:30:00Z,30518,30500
2023-06-11T09:35:00Z,30498,30450
2023-06-11T09:40:00Z,30435,30442
2023-06-11T09:45:00Z,30427,30470
2023-06-11T09:50:00Z,30466,30481
2023-06-11T09:55:00Z,30475,30493
2023-06-11T10:00:00Z,30491,30464
2023-06-11T10:05:00Z,30465,30467
2023-06-11T10:10:00Z,30467,30475
2023-06-11T10:15:00Z,30474,30474
2023-06-11T10:20:00Z,30475,30487
2023-06-11T10:25:00Z,30488,30481
2023-06-11T10:30:00Z,30477,30508
2023-06-11T10:35:00Z,30510,30530
2023-06-11T10:40:00Z,30518,30543
2023-06-11T10:45:00Z,30541,30543
2023-06-11T10:50:00Z,30542,30543
2023-06-11T10:55:00Z,30547,30531
2023-06-11T11:00:00Z,30536,30544
2023-06-11T11:05:00Z,30545,30562
2023-06-11T11:10:00Z,30563,30545
2023-06-11T11:15:00Z,30545,30536
2023-06-11T11:20:00Z,30554,30554
2023-06-11T11:25:00Z,30552,30552
2023-06-11T11:30:00Z,30541,30561
2023-06-11T11:35:00Z,30561,30564
2023-06-11T11:40:00Z,30564,30556
2023-06-11T11:45:00Z,30551,30545
2023-06-11T11:50:00Z,30545,30561
2023-06-11T11:55:00Z,30558,30554
2023-06-11T12:00:00Z,30556,30554
2023-06-11T12:05:00Z,30558,30566
2023-06-11T12:10:00Z,30565,30578
2023-06-11T12:15:00Z,30580,30582
2023-06-11T12:20:00Z,30584,30591
2023-06-11T12:25:00Z,30592,30617
2023-06-11T12:30:00Z,30613,30605
2023-06-11T12:35:00Z,30603,30592
2023-06-11T12:40:00Z,30595,30594
2023-06-11T12:45:00Z,30593,30586
2023-06-11T12:50:00Z,30586,30609
2023-06-11T12:55:00Z,30608,30588
2023-06-11T13:00:00Z,30589,30591
2023-06-11T13:05:00Z,30596,30603
2023-06-11T13:10:00Z,30605,30595
2023-06-11T13:15:00Z,30600,30588
2023-06-11T13:20:00Z,30594,30598
2023-06-11T13:25:00Z,30598,30570
2023-06-11T13:30:00Z,30572,30554
2023-06-11T13:35:00Z,30559,30561
2023-06-11T13:40:00Z,30566,30575
2023-06-11T13:45:00Z,30573,30585
2023-06-11T13:50:00Z,30585,30590
2023-06-11T13:55:00Z,30590,30611
2023-06-11T14:00:00Z,30611,30631
2023-06-11T14:05:00Z,30633,30701
2023-06-11T14:10:00Z,30697,30765
2023-06-11T14:15:00Z,30765,30735
2023-06-11T14:20:00Z,30742,30576
2023-06-11T14:25:00Z,30580,30598
2023-06-11T14:30:00Z,30594,30644
2023-06-11T14:35:00Z,30643,30650
2023-06-11T14:40:00Z,30650,30624
2023-06-11T14:45:00Z,30624,30614
2023-06-11T14:50:00Z,30605,30605
2023-06-11T14:55:00Z,30603,30572
2023-06-11T15:00:00Z,30574,30568
2023-06-11T15:05:00Z,30569,30600
2023-06-11T15:10:00Z,30594,30576
2023-06-11T15:15:00Z,30570,30563
2023-06-11T15:20:00Z,30565,30602
2023-06-11T15:25:00Z,30600,30575
2023-06-11T15:30:00Z,30573,30624
2023-06-11T15:35:00Z,30626,30616
2023-06-11T15:40:00Z,30616,30612
2023-06-11T15:45:00Z,30608,30636
2023-06-11T15:50:00Z,30634,30652
2023-06-11T15:55:00Z,30652,30678
2023-06-11T16:00:00Z,30678,30664
2023-06-11T16:05:00Z,30667,30670
2023-06-11T16:10:00Z,30667,30645
2023-06-11T16:15:00Z,30639,30617
2023-06-11T16:20:00Z,30607,30607
2023-06-11T16:25:00Z,30610,30605
2023-06-11T16:30:00Z,30607,30630
2023-06-11T16:35:00Z,30624,30642
2023-06-11T16:40:00Z,30641,30647
2023-06-11T16:45:00Z,30642,30660
2023-06-11T16:50:00Z,30659,30655
2023-06-11T16:55:00Z,30660,30652
2023-06-11T17:00:00Z,30662,30683
2023-06-11T17:05:00Z,30679,30693
2023-06-11T17:10:00Z,30699,30733
2023-06-11T17:15:00Z,30733,30707
2023-06-11T17:20:00Z,30706,30692
2023-06-11T17:25:00Z,30693,30669
2023-06-11T17:30:00Z,30671,30666
2023-06-11T17:35:00Z,30668,30661
2023-06-11T17:40:00Z,30660,30678
2023-06-11T17:45:00Z,30679,30731
2023-06-11T17:50:00Z,30733,30712
2023-06-11T17:55:00Z,30714,30722
2023-06-11T18:00:00Z,30722,30730
2023-06-11T18:05:00Z,30737,30751
2023-06-11T18:10:00Z,30751,30758
2023-06-11T18:15:00Z,30752,30764
2023-06-11T18:20:00Z,30764,30756
2023-06-11T18:25:00Z,30756,30741
2023-06-11T18:30:00Z,30741,30749
2023-06-11T18:35:00Z,30751,30759
2023-06-11T18:40:00Z,30753,30773
2023-06-11T18:45:00Z,30776,30761
2023-06-11T18:50:00Z,30761,30759
2023-06-11T18:55:00Z,30759,30764
2023-06-11T19:00:00Z,30764,30768
2023-06-11T19:05:00Z,30768,30779
2023-06-11T19:10:00Z,30779,30766
2023-06-11T19:15:00Z,30764,30761
2023-06-11T19:20:00Z,30761,30777
2023-06-11T19:25:00Z,30776,30782
2023-06-11T19:30:00Z,30782,30781
2023-06-11T19:35:00Z,30777,30760
2023-06-11T19:40:00Z,30760,30778
2023-06-11T19:45:00Z,30778,30786
2023-06-11T19:50:00Z,30790,30741
2023-06-11T19:55:00Z,30742,30741
2023-06-11T20:00:00Z,30741,30714
2023-06-11T20:05:00Z,30720,30735
2023-06-11T20:10:00Z,30726,30735
2023-06-11T20:15:00Z,30722,30714
2023-06-11T20:20:00Z,30712,30708
2023-06-11T20:25:00Z,30708,30699
2023-06-11T20:30:00Z,30697,30700
2023-06-11T20:35:00Z,30698,30674
2023-06-11T20:40:00Z,30674,30678
2023-06-11T20:45:00Z,30678,30673
2023-06-11T20:50:00Z,30672,30688
2023-06-11T20:55:00Z,30691,30703
2023-06-11T21:00:00Z,30703,30676
2023-06-11T21:05:00Z,30677,30688
2023-06-11T21:10:00Z,30691,30678
2023-06-11T21:15:00Z,30675,30686
2023-06-11T21:20:00Z,30697,30686
2023-06-11T21:25:00Z,30685,30680
2023-06-11T21:30:00Z,30681,30677
2023-06-11T21:35:00Z,30675,30671
2023-06-11T21:40:00Z,30671,30667
2023-06-11T21:45:00Z,30667,30669
2023-06-11T21:50:00Z,30669,30639
2023-06-11T21:55:00Z,30642,30662
2023-06-11T22:00:00Z,30653,30631
2023-06-11T22:05:00Z,30629,30638
2023-06-11T22:10:00Z,30637,30634
2023-06-11T22:15:00Z,30635,30652
2023-06-11T22:20:00Z,30652,30661
2023-06-11T22:25:00Z,30660,30648
2023-06-11T22:30:00Z,30645,30648
2023-06-11T22:35:00Z,30650,30649
2023-06-11T22:40:00Z,30646,30662
2023-06-11T22:45:00Z,30664,30644
2023-06-11T22:50:00Z,30639,30650
2023-06-11T22:55:00Z,30648,30684
2023-06-11T23:00:00Z,30686,30677
2023-06-11T23:05:00Z,30682,30709
2023-06-11T23:10:00Z,30709,30683
2023-06-11T23:15:00Z,30686,30740
2023-06-11T23:20:00Z,30742,30729
2023-06-11T23:25:00Z,30726,30705
2023-06-11T23:30:00Z,30701,30669
2023-06-11T23:35:00Z,30669,30676
2023-06-11T23:40:00Z,30673,30657
2023-06-11T23:45:00Z,30672,30689
2023-06-11T23:50:00Z,30689,30678
2023-06-11T23:55:00Z,30677,30648
2023-06-12T00:00:00Z,30650,30634
2023-06-12T00:05:00Z,30626,30623
2023-06-12T00:10:00Z,30626,30619
2023-06-12T00:15:00Z,30618,30660
2023-06-12T00:20:00Z,30656,30638
2023-06-12T00:25:00Z,30635,30644
2023-06-12T00:30:00Z,30644,30636
2023-06-12T00:35:00Z,30635,30646
2023-06-12T00:40:00Z,30647,30658
2023-06-12T00:45:00Z,30656,30661
2023-06-12T00:50:00Z,30663,30667
2023-06-12T00:55:00Z,30666,30668
2023-06-12T01:00:00Z,30663,30664
2023-06-12T01:05:00Z,30665,30665
2023-06-12T01:10:00Z,30666,30651
2023-06-12T01:15:00Z,30646,30655
2023-06-12T01:20:00Z,30655,30644
2023-06-12T01:25:00Z,30645,30641
2023-06-12T01:30:00Z,30638,30625
2023-06-12T01:35:00Z,30624,30611
2023-06-12T01:40:00Z,30610,30587
2023-06-12T01:45:00Z,30587,30622
2023-06-12T01:50:00Z,30622,30623
2023-06-12T01:55:00Z,30622,30621
2023-06-12T02:00:00Z,30622,30622
2023-06-12T02:05:00Z,30622,30621
2023-06-12T02:10:00Z,30623,30623
2023-06-12T02:15:00Z,30623,30623
2023-06-12T02:20:00Z,30624,30624
2023-06-12T02:25:00Z,30660,30627
2023-06-12T02:30:00Z,30628,30628
2023-06-12T02:35:00Z,30628,30629
2023-06-12T02:40:00Z,30630,30648
2023-06-12T02:45:00Z,30644,30681
2023-06-12T02:50:00Z,30680,30647
2023-06-12T02:55:00Z,30647,30654
2023-06-12T03:00:00Z,30662,30683
2023-06-12T03:05:00Z,30684,30698
2023-06-12T03:10:00Z,30702,30680
2023-06-12T03:15:00Z,30684,30680
2023-06-12T03:20:00Z,30680,30690
2023-06-12T03:25:00Z,30690,30679
2023-06-12T03:30:00Z,30676,30703
2023-06-12T03:35:00Z,30704,30700
2023-06-12T03:40:00Z,30698,30749
2023-06-12T03:45:00Z,30748,30715
2023-06-12T03:50:00Z,30715,30735
2023-06-12T03:55:00Z,30728,30737
2023-06-12T04:00:00Z,30737,30912
2023-06-12T04:05:00Z,30906,30902
2023-06-12T04:10:00Z,30909,30924
2023-06-12T04:15:00Z,30920,30856
2023-06-12T04:20:00Z,30856,30914
2023-06-12T04:25:00Z,30914,30953
2023-06-12T04:30:00Z,30949,31058
2023-06-12T04:35:00Z,31059,30987
2023-06-12T04:40:00Z,30980,31070
2023-06-12T04:45:00Z,31062,31102
2023-06-12T04:50:00Z,31102,31059
2023-06-12T04:55:00Z,31049,31064
2023-06-12T05:00:00Z,31070,31074
2023-06-12T05:05:00Z,31074,30949
2023-06-12T05:10:00Z,30941,30954
2023-06-12T05:15:00Z,30954,31019
2023-06-12T05:20:00Z,31019,31000
2023-06-12T05:25:00Z,31005,31000
2023-06-12T05:30:00Z,31000,30988
2023-06-12T05:35:00Z,30978,30944
2023-06-12T05:40:00Z,30971,30970
2023-06-12T05:45:00Z,30970,31002
2023-06-12T05:50:00Z,31004,31033
2023-06-12T05:55:00Z,31028,31048
2023-06-12T06:00:00Z,31048,30984
2023-06-12T06:05:00Z,30989,30983
2023-06-12T06:10:00Z,30978,30937
2023-06-12T06:15:00Z,30937,30969
2023-06-12T06:20:00Z,30976,30965
2023-06-12T06:25:00Z,30964,31011
2023-06-12T06:30:00Z,31004,30991
2023-06-12T06:35:00Z,30989,31045
2023-06-12T06:40:00Z,31046,31028
2023-06-12T06:45:00Z,31024,31023
2023-06-12T06:50:00Z,31035,31040
2023-06-12T06:55:00Z,31037,31009
2023-06-12T07:00:00Z,31009,31020
2023-06-12T07:05:00Z,31019,31023
2023-06-12T07:10:00Z,31023,31050
2023-06-12T07:15:00Z,31049,31039
2023-06-12T07:20:00Z,31038,31030
2023-06-12T07:25:00Z,31035,31010
2023-06-12T07:30:00Z,31027,31010
2023-06-12T07:35:00Z,31010,31031
2023-06-12T07:40:00Z,31027,31098
2023-06-12T07:45:00Z,31102,31120
2023-06-12T07:50:00Z,31124,31176
2023-06-12T07:55:00Z,31173,31212
2023-06-12T08:00:00Z,31206,31210
2023-06-12T08:05:00Z,31206,31156
2023-06-12T08:10:00Z,31156,31150
2023-06-12T08:15:00Z,31132,31191
2023-06-12T08:20:00Z,31186,31232
2023-06-12T08:25:00Z,31232,31322
2023-06-12T08:30:00Z,31331,31275
2023-06-12T08:35:00Z,31299,31316
2023-06-12T08:40:00Z,31322,31291
2023-06-12T08:45:00Z,31298,31315
2023-06-12T08:50:00Z,31316,31319
2023-06-12T08:55:00Z,31326,31258
2023-06-12T09:00:00Z,31259,31245
2023-06-12T09:05:00Z,31266,31286
2023-06-12T09:10:00Z,31284,31259
2023-06-12T09:15:00Z,31256,31204
2023-06-12T09:20:00Z,31212,31221
2023-06-12T09:25:00Z,31217,31232
2023-06-12T09:30:00Z,31231,31204
2023-06-12T09:35:00Z,31206,31173
2023-06-12T09:40:00Z,31171,31177
2023-06-12T09:45:00Z,31177,31135
2023-06-12T09:50:00Z,31139,31135
2023-06-12T09:55:00Z,31138,31128
2023-06-12T10:00:00Z,31130,31075
2023-06-12T10:05:00Z,31080,31113
2023-06-12T10:10:00Z,31115,31093
2023-06-12T10:15:00Z,31093,31067
2023-06-12T10:20:00Z,31070,31038
2023-06-12T10:25:00Z,31037,31044
2023-06-12T10:30:00Z,31019,31070
2023-06-12T10:35:00Z,31055,31057
2023-06-12T10:40:00Z,31058,31088
2023-06-12T10:45:00Z,31088,31043
2023-06-12T10:50:00Z,31042,31061
2023-06-12T10:55:00Z,31058,31051
2023-06-12T11:00:00Z,31048,31089
2023-06-12T11:05:00Z,31082,31060
2023-06-12T11:10:00Z,31055,31073
2023-06-12T11:15:00Z,31071,31132
2023-06-12T11:20:00Z,31122,31120
2023-06-12T11:25:00Z,31120,31132
2023-06-12T11:30:00Z,31138,31114
2023-06-12T11:35:00Z,31114,31108
2023-06-12T11:40:00Z,31107,31110
2023-06-12T11:45:00Z,31110,31115
2023-06-12T11:50:00Z,31114,31138
2023-06-12T11:55:00Z,31138,31128
2023-06-12T12:00:00Z,31141,31133
2023-06-12T12:05:00Z,31124,31138
2023-06-12T12:10:00Z,31125,31112
2023-06-12T12:15:00Z,31112,31121
2023-06-12T12:20:00Z,31119,31119
2023-06-12T12:25:00Z,31120,31118
2023-06-12T12:30:00Z,31115,31122
2023-06-12T12:35:00Z,31124,31127
2023-06-12T12:40:00Z,31129,31128
2023-06-12T12:45:00Z,31133,31136
2023-06-12T12:50:00Z,31137,31160
2023-06-12T12:55:00Z,31160,31158
2023-06-12T13:00:00Z,31165,31149
2023-06-12T13:05:00Z,31147,31162
2023-06-12T13:10:00Z,31159,31144
2023-06-12T13:15:00Z,31145,31152
2023-06-12T13:20:00Z,31146,31132
2023-06-12T13:25:00Z,31134,31154
2023-06-12T13:30:00Z,31152,31131
2023-06-12T13:35:00Z,31147,31149
2023-06-12T13:40:00Z,31149,31176
2023-06-12T13:45:00Z,31180,31146
2023-06-12T13:50:00Z,31147,31133
2023-06-12T13:55:00Z,31131,31122
2023-06-12T14:00:00Z,31121,31136
2023-06-12T14:05:00Z,31135,31136
2023-06-12T14:10:00Z,31134,31142
2023-06-12T14:15:00Z,31142,31158
2023-06-12T14:20:00Z,31158,31162
2023-06-12T14:25:00Z,31162,31211
2023-06-12T14:30:00Z,31207,31206
2023-06-12T14:35:00Z,31203,31257
2023-06-12T14:40:00Z,31255,31266
2023-06-12T14:45:00Z,31288,31277
2023-06-12T14:50:00Z,31277,31292
2023-06-12T14:55:00Z,31296,31293
2023-06-12T15:00:00Z,31290,31327
2023-06-12T15:05:00Z,31325,31274
2023-06-12T15:10:00Z,31270,31265
2023-06-12T15:15:00Z,31265,31271
2023-06-12T15:20:00Z,31275,31278
2023-06-12T15:25:00Z,31274,31277
2023-06-12T15:30:00Z,31280,31262
2023-06-12T15:35:00Z,31262,31264
2023-06-12T15:40:00Z,31263,31219
2023-06-12T15:45:00Z,31227,31228
2023-06-12T15:50:00Z,31219,31247
2023-06-12T15:55:00Z,31253,31268
2023-06-12T16:00:00Z,31269,31243
2023-06-12T16:05:00Z,31231,31237
2023-06-12T16:10:00Z,31236,31236
2023-06-12T16:15:00Z,31245,31207
2023-06-12T16:20:00Z,31210,31230
2023-06-12T16:25:00Z,31230,31203
